time,uol,wol,uol_block,wol_block,upi,wpi,upi_block,wpi_block,upid,wpid,upid_block,wpid_block,r
10.7,1,7.38743311248354,1,7.38743311248354,0.0862524308030492,0.640881423420705,0.0862524308030492,0.640881423420705,0.0869031909228478,0.860780424240334,0.0869031909228478,0.860780424240334,1
10.8,1,8.22237102543622,1,8.22237102543622,0.08697449258895,0.637056790678512,0.08697449258895,0.637056790678512,0.0871881951449384,0.863673237461386,0.0871881951449384,0.863673237461386,1
10.9,1,9.08303465212815,1,9.08303465212815,0.0876997842199454,0.637651578326097,0.0876997842199454,0.637651578326097,0.087467440845748,0.866472139900721,0.087467440845748,0.866472139900721,1
11,1,9.95178647530551,1,9.95178647530551,0.0884193777679289,0.642754873690338,0.0884193777679289,0.642754873690338,0.0877410429350393,0.869178514899144,0.0877410429350393,0.869178514899144,1
11.1,1,10.8109984438146,1,10.8109984438146,0.0891242584290831,0.652364465155454,0.0891242584290831,0.652364465155454,0.0880091140012292,0.87179444959077,0.0880091140012292,0.87179444959077,1
11.2,1,11.6434079664672,1,11.6434079664672,0.089805507967946,0.666385995981657,0.089805507967946,0.666385995981657,0.0882717643882811,0.874322708827692,0.0882717643882811,0.874322708827691,1
11.3,1,12.4324630348752,1,12.4324630348752,0.0904544880015916,0.684633970372751,0.0904544880015916,0.684633970372751,0.0885291022701069,0.876766695206018,0.0885291022701069,0.876766695206018,1
11.4,1,13.1626496103083,1,13.1626496103083,0.091063019421212,0.706834610006872,0.091063019421212,0.706834610006872,0.0887812337219499,0.879130396152331,0.0887812337219499,0.879130396152331,1
11.5,1,13.8197948351739,1,13.8197948351739,0.0916235542893544,0.732630521850757,0.0916235542893544,0.732630521850757,0.0890282627882694,0.881418319281115,0.0890282627882694,0.881418319281115,1
11.6,1,14.3913401811653,1,14.3913401811653,0.0921293366664022,0.76158710110143,0.0921293366664022,0.76158710110143,0.0892702915467052,0.883635417458149,0.0892702915467052,0.883635417458148,1
11.7,1,14.8665793111065,1,14.8665793111065,0.0925745490080097,0.793200557291068,0.0925745490080097,0.793200557291068,0.0895074201677626,0.885787005198046,0.0895074201677626,0.885787005198046,1
11.8,1,15.2368561954899,1,15.2368561954899,0.0929544410330326,0.826907417686049,0.0929544410330326,0.826907417686049,0.0897397469699331,0.887878668182433,0.0897397469699331,0.887878668182433,1
11.9,1,15.4957198712574,1,15.4957198712574,0.093265438284533,0.862095330813503,0.093265438284533,0.862095330813503,0.0899673684700428,0.889916167805841,0.0899673684700428,0.889916167805841,1
12,1,15.6390331416031,1,15.6390331416031,0.093505227988803,0.898114964916481,0.093505227988803,0.898114964916481,0.0901903794286998,0.891905342737247,0.0901903794286998,0.891905342737247,1
12.1,1,15.6650334724389,1,15.6650334724389,0.0936728202519157,0.934292771970844,0.0936728202519157,0.934292771970844,0.0904088728907987,0.893852009525042,0.0904088728907987,0.893852009525042,1
12.2,1,15.5743453238893,1,15.5743453238893,0.0937685831118249,0.969944368120023,0.0937685831118249,0.969944368120023,0.0906229402211206,0.895761864271651,0.0906229402211206,0.895761864271651,1
12.3,1,15.369944143653,1,15.369944143653,0.0937942504772636,1.0043882664413,0.0937942504772636,1.0043882664413,0.0908326711351518,0.897640387361615,0.0908326711351518,0.897640387361615,1
12.4,1,15.0570732232811,1,15.0570732232811,0.093752902522623,1.03695968819928,0.093752902522623,1.03695968819928,0.0910381537253216,0.899492753144818,0.0910381537253216,0.899492753144818,1
12.5,1,14.6431155588186,1,14.6431155588186,0.0936489186600058,1.06702417441786,0.0936489186600058,1.06702417441786,0.0912394744829369,0.90132374635685,0.0912394744829369,0.90132374635685,1
12.6,1,14.1374237451797,1,14.1374237451797,0.0934879037647352,1.09399072085278,0.0934879037647352,1.09399072085278,0.0914367183161582,0.903137686904059,0.0914367183161582,0.903137686904059,1
12.7,1,13.5511117516619,1,13.5511117516619,0.093276588877579,1.11732416630341,0.093276588877579,1.11732416630341,0.0916299685644229,0.904938364455032,0.0916299685644229,0.904938364455032,1
12.8,1,12.8968131582969,1,12.8968131582969,0.0930227081346934,1.13655657658224,0.0930227081346934,1.13655657658224,0.0918193070097765,0.906728984067245,0.0918193070097765,0.906728984067245,1
12.9,1,12.1884110653493,1,12.1884110653493,0.0927348541739422,1.1512973841689,0.0927348541739422,1.1512973841689,0.0920048138856147,0.908512123841985,0.0920048138856147,0.908512123841985,1
13,1,11.4407454093926,1,11.4407454093926,0.0924223147234654,1.16124206630793,0.0924223147234654,1.16124206630793,0.0921865678833699,0.910289705347279,0.0921865678833699,0.910289705347279,1
13.1,1,10.6693038195945,1,10.6693038195945,0.0920948934855001,1.16617917165737,0.0920948934855001,1.16617917165737,0.0923646461577041,0.91206297728293,0.0923646461577041,0.91206297728293,1
13.2,1,9.88990242022061,1,9.88990242022061,0.0917627187767911,1.1659955370516,0.0917627187767911,1.1659955370516,0.0925391243307731,0.913832512589169,0.0925391243307731,0.91383251258917,1
13.3,1,9.11836312567213,1,9.11836312567213,0.0914360436688259,1.16067957091362,0.0914360436688259,1.16067957091362,0.0927100764961334,0.915598218926648,0.0927100764961334,0.915598218926648,1
13.4,1,8.37019398107164,1,8.37019398107164,0.0911250415802456,1.1503225176667,0.0911250415802456,1.1503225176667,0.092877575222848,0.917359362185855,0.092877575222848,0.917359362185855,1
